"name","url","summary","linksInSummary","knownFor","numBacklinks","numReferences","numLinks"
"Adele Goldstine","https://en.wikipedia.org/wiki/Adele_Goldstine","Adele Goldstine (née Katz; December 21, 1920 – November, 1964) was an American mathematician and computer programmer. She wrote the manual for the first electronic digital computer, ENIAC. Through her work programming the computer, she was also an instrumental player in converting the ENIAC from a computer that needed to be reprogrammed each time it was used to one that was able to perform a set of fifty stored instructions.","ENIAC, Electronic digital computer","electronic digital computer",246,4,173
"Alexandra Elbakyan","https://en.wikipedia.org/wiki/Alexandra_Elbakyan","Alexandra Asanovna Elbakyan (Russian: Алекса́ндра Аса́новна Элбакя́н) is a Kazakhstani computer programmer, the creator of the site Sci-Hub, described as an Internet ""pirate in hiding"" & ""Science's Pirate Queen"". Nature has listed her in 2016 in the top ten people that mattered in science, Ars Technica has compared her to Aaron Swartz, and The New York Times has compared her to Edward Snowden.

","Aaron Swartz, Ars Technica, Edward Snowden, Internet, Kazakhstan, Programmer, Sci-Hub, The New York Times","Sci-Hub",226,44,206
"Allison Randal","https://en.wikipedia.org/wiki/Allison_Randal","Allison Randal is a software developer and author.  She was the chief architect of the Parrot virtual machine, a member of the board of directors for The Perl Foundation, a director of the Python Software Foundation from 2010 to 2012, and the chairman of the Parrot Foundation.  She is also the lead developer of Punie, the port of Perl 1 to Parrot. She is co-author of Perl 6 and Parrot Essentials and the Synopses of Perl 6.  She was employed by O'Reilly Media. From August 2010 till February 2012, Randal was the Technical Architect of Ubuntu at Canonical.In 2009, Randal was chair of O'Reilly's Open Source Convention (OSCON). She was elected a fellow of the Python Software Foundation in 2010.She is currently a director of the Open Source Initiative and was its president between 2015 and 2017, taking over from and handing back to Simon Phipps. She also serves on the OpenStack Foundation board of directors.","Author, O'Reilly Media, OpenStack, Open Source Initiative, Parrot Foundation, Parrot virtual machine, Perl, Perl Foundation, Punie, Python Software Foundation, The Perl Foundation","Perl, Parrot virtual machine",173,14,199
"Barbara Liskov","https://en.wikipedia.org/wiki/Barbara_Liskov","Barbara Liskov (born November 7, 1939 as Barbara Jane Huberman) is an American computer scientist who is an Institute Professor at the Massachusetts Institute of Technology and Ford Professor of Engineering in its School of Engineering's electrical engineering and computer science department. She was one of the first women to be granted a doctorate in computer science in the United States and is a Turing Award winner who developed the Liskov substitution principle.","Computer science, Computer scientist, Electrical engineering, Liskov substitution principle, Massachusetts Institute of Technology, Turing Award, United States","class=nowrap, Venus {{smaller, operating system",182,21,146
"Cynthia Solomon","https://en.wikipedia.org/wiki/Cynthia_Solomon","Cynthia Solomon is an American computer scientist known for her work in artificial intelligence (AI) and popularizing computer science for students. She is a pioneer in the fields of artificial intelligence, computer science, and educational computing. While working as a researcher at Massachusetts Institute of Technology (MIT), Dr. Solomon took it upon herself to understand and program in the programming language Lisp. As she began learning this language, she realized the need for a programming language that was more accessible and understandable for children. Throughout her research studies in education, Dr. Solomon worked full-time as a computer teacher in elementary and secondary schools. Her work has mainly focused on research on human-computer interaction and children as designers. While working at Bolt, Beranek and Newman, she worked with Wally Feurzeig and Seymour Papert, to create the first programming language for children, named Logo. The language was created to teach concepts of programming related to Lisp. Dr. Solomon has attained many accomplishments in her life such as being the vice president of R&D for Logo Computer Systems, Inc., when Apple Logo was developed and was the Director of the Atari Cambridge Research Laboratory. Dr. Solomon worked on the program committee of Constructing Modern Knowledge and the Marvin Minsky Institute for Artificial Intelligence in 2016. Further, she has published many writings based on research in the field of child education and technology in the classroom. Dr. Solomon has conducted workshops in elementary schools, high schools, and colleges regarding academic research and writing. She continues to contribute to the field by speaking at conferences and working with the One Laptop per Child Foundation.","Artificial intelligence, Atari, Bolt, Beranek and Newman, Computer science, Computer scientist, Education, Marvin Minsky, Massachusetts, Massachusetts Institute of Technology, One Laptop per Child, Research, Seymour Papert, Vice president, Wally Feurzeig","Logo (programming language), Technology education",122,5,211
"Danese Cooper","https://en.wikipedia.org/wiki/Danese_Cooper","Danese Cooper is an American programmer, computer scientist and advocate of open source software.","Open source software",,467,22,91
"Daphne Koller","https://en.wikipedia.org/wiki/Daphne_Koller","Daphne Koller (Hebrew: דפנה קולר‎; born August 27, 1968) is an Israeli-American Professor in the Department of Computer Science at Stanford University and a MacArthur Fellowship recipient.  She is one of the founders of Coursera, an online education platform. Her general research area is artificial intelligence and its applications in the biomedical sciences. Koller was featured in a 2004 article by MIT Technology Review titled ""10 Emerging Technologies That Will Change Your World"" concerning the topic of Bayesian machine learning.","Artificial intelligence, Biomedical sciences, Computer Science, Coursera, Israel, Israeli-American, Iversity, MacArthur Fellow, Machine learning, Professor, Stanford University, Technology Review","Machine learning, Graphical model",208,20,205
"Elaine Weyuker","https://en.wikipedia.org/wiki/Elaine_Weyuker","Elaine Jessica Weyuker is an ACM Fellow, an IEEE Fellow (since 2003), and an AT&T Fellow at Bell Labs for research in software metrics and testing as well as elected to the National Academy of Engineering.  She is the author of over 130 papers in journals and refereed conference proceedings.","AT&T, Bell Labs, IEEE, IEEE Fellow, National Academy of Engineering, Software","Software Engineer",212,12,265
"Frances E. Allen","https://en.wikipedia.org/wiki/Frances_E. Allen","Frances Elizabeth ""Fran"" Allen (born August 4, 1932) is an American computer scientist and pioneer in the field of optimizing compilers. Allen was the first female IBM Fellow and in 2006 became the first woman to win the Turing Award. Her achievements include seminal work in compilers, program optimization, and parallelization. Since 2002, she has been a Fellow Emerita from IBM.","Compiler, Fellow, IBM, IBM Fellow, Optimizing compiler, Program optimization, Turing Award",,147,20,134
"Grace Hopper","https://en.wikipedia.org/wiki/Grace_Hopper","Grace Brewster Murray Hopper (née Murray December 9, 1906 – January 1, 1992) was an American computer scientist and United States Navy rear admiral. One of the first programmers of the Harvard Mark I computer, she was a pioneer of computer programming who invented one of the first linkers.  She popularized the idea of machine-independent programming languages, which led to the development of COBOL, an early high-level programming language still in use today.
Prior to joining the Navy, Hopper earned a Ph.D. in mathematics from Yale University and was a professor of mathematics at Vassar College. Hopper attempted to enlist in the Navy during World War II but was rejected because she was 34 years old. She instead joined the Navy Reserves. Hopper began her computing career in 1944 when she worked on the Harvard Mark I team led by Howard H. Aiken. In 1949, she joined the Eckert–Mauchly Computer Corporation and was part of the team that developed the UNIVAC I computer.  At Eckert–Mauchly she began developing the compiler. She believed that a programming language based on English was possible.  Her compiler converted English terms into machine code understood by computers. By 1952, Hopper had finished her program linker (originally called a compiler), which was written for the A-0 System. During her wartime service, she co-authored three papers based on her work on the Harvard Mark 1.
In 1954, Eckert–Mauchly chose Hopper to lead their department for automatic programming, and she led the release of some of the first compiled languages like FLOW-MATIC. In 1959, she participated in the CODASYL consortium, which consulted Hopper to guide them in creating a machine-independent programming language. This led to the COBOL language, which was inspired by her idea of a language being based on English words. In 1966, she retired from the Naval Reserve, but in 1967 the Navy recalled her to active duty.  She retired from the Navy in 1986 and found work as a consultant for the Digital Equipment Corporation, sharing her computing experiences.
The U.S. Navy Arleigh Burke-class guided-missile destroyer USS Hopper was named for her, as was the Cray XE6 ""Hopper"" supercomputer at NERSC. During her lifetime, Hopper was awarded 40 honorary degrees from universities across the world. A college at Yale University was renamed in her honor.  In 1991, she received the National Medal of Technology. On November 22, 2016, she was posthumously awarded the Presidential Medal of Freedom by President Barack Obama.","A-0 System, Barack Obama, COBOL, CODASYL, Compiler, Computer programming, Computer scientist, Cray XE6, Digital Equipment Corporation, Eckert–Mauchly Computer Corporation, FLOW-MATIC, Harvard Mark I, High-level programming language, Howard H. Aiken, Machine code, NERSC, National Medal of Technology, Presidential Medal of Freedom, Programming language, UNIVAC I, USS Hopper, United States Navy, Vassar College, World War II, Yale University",,1258,81,792
